2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
