2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
152.0,152.0,153.0,152.0,153.0,152.0,153.0,152.0,152.0,152,153.0
