Year,Mean,Average since 1990
1991,191.17704781126037,0.5118723307492851
1992,184.31320233536317,-3.096813795905793
1993,176.41102444097763,-7.251406121442096
1994,186.7389980625519,-1.8214448474722797
1995,170.05582200905943,-10.59267173248793
1996,185.28284045052098,-2.587023820835211
1997,178.9359722976643,-5.923907661147624
1998,170.07213990769978,-10.584092551233576
1999,171.43501725760905,-9.867555938889874
2000,176.06036782254668,-7.4357648280294
2001,183.35479805935353,-3.6006975483457224
2002,173.50206362308717,-8.78080047965823
2003,180.17554779295014,-5.272197346792846
2004,200.42687545520758,5.374995314778841
2005,186.4068239710417,-1.996086313378892
2006,168.34635432268888,-11.491429192199561
2007,176.36749441597686,-7.274292154914851
2008,187.67180425777863,-1.331019358234032
2009,179.12797355052012,-5.822962460689041
2010,176.33014057331863,-7.293931043093697
2011,174.5412675018423,-8.234436108082747
2012,191.58516269655925,0.7264398832723129
2013,168.9848505810736,-11.155737982709894
2014,174.46035519507763,-8.276975981674406
2015,191.88951214111742,0.8864524625311262
2016,175.21536678483776,-7.880026507942986
2017,185.68132978234917,-2.377516930209812
2018,179.79634703196348,-5.4715632168717825
2019,165.21802403204273,-13.136157669711501
2020,178.6769509981851,-6.060088840228813
