,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
1,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
2,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
3,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
4,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
5,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
6,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
7,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
8,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
9,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
10,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
11,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
12,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
13,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
14,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
15,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
16,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
17,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
18,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
19,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
20,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
21,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
22,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
23,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
24,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
25,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
26,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
27,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
28,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
29,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
30,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
31,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
32,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
33,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
34,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
35,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
36,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
37,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
38,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
39,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
40,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
41,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
42,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
43,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
44,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
45,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
46,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
47,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
48,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
49,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
50,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
51,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
52,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
53,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
54,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
55,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
56,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
57,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
58,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
59,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
60,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
61,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
62,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
63,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
64,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
65,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
66,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
67,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
68,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
69,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
70,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
71,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
72,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
73,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
74,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
75,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
76,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
77,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
78,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
79,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
80,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
81,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
82,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
83,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
84,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
85,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
86,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
87,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
88,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
89,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
90,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
91,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
92,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
93,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
94,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
95,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
96,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
97,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
98,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
99,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
100,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
101,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
102,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
103,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
104,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
105,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
106,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
107,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
108,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
109,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
110,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
111,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
112,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
113,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
114,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
115,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
116,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
117,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
118,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
119,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
120,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
121,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
122,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
123,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
124,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
125,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
126,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
127,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
128,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
129,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
130,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
131,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
132,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
133,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
134,153.0,152.0,152.0,152.0,153.0,152.0,152,152.0,153.0,152.0
