,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
1,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
2,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
3,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
4,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
5,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
6,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
7,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
8,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
9,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
10,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
11,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
12,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
13,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
14,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
15,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
16,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
17,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
18,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
19,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
20,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
21,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
22,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
23,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
24,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
25,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
26,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
27,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
28,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
29,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
30,152.0,152.0,153.0,152.0,152.0,152.0,153.0,152.0,152.0,152,153.0
